 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +9.4999999999999996E-01   +4.5406249593769083E+01   +4.8921437965682458E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.0000000000000000E+00   +4.5595112027599228E+01   +4.9651529807620605E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.0500000000000000E+00   +4.5829298682259981E+01   +5.0422062922263166E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.1000000000000001E+00   +4.6112558994980787E+01   +5.1221441667082495E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.1499999999999999E+00   +4.6448138688004192E+01   +5.2038860469117274E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.2000000000000000E+00   +4.6838785082339214E+01   +5.2864635906774154E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.2500000000000000E+00   +4.7286438920643597E+01   +5.3689700146382279E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.3000000000000000E+00   +4.7792214716082235E+01   +5.4505762391099552E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.3500000000000001E+00   +4.8356410822845987E+01   +5.5305411061263754E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.3999999999999999E+00   +4.8978543434167470E+01   +5.6082163711853802E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.4500000000000000E+00   +4.9657399738384562E+01   +5.6830475296638603E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.5000000000000000E+00   +5.0391585225425153E+01   +5.7546130122901644E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.5500000000000000E+00   +5.1178765327148795E+01   +5.8225354781474884E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.6000000000000001E+00   +5.2015848303527264E+01   +5.8864922202264147E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.6499999999999999E+00   +5.2915444834893854E+01   +5.9472153409310501E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.7000000000000000E+00   +5.3891336102698219E+01   +6.0052119579270546E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.7500000000000000E+00   +5.4949134068765318E+01   +6.0601864658762935E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
  +1.8000000000000000E+00   +5.6096712788634925E+01   +6.1118488216797182E+01   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.0000000000000000E+00
